YARN MANUFACTURE LABORATORYI                       ,TXP221,DC,1,0,0,2
DESIGN OF FOUN. & RET. STRUCT.                     ,CVL431,"",3,3,0,0
SELECTED TOPICS IN COMMUNICATI                     ,ELL821,"",3,3,0,0
OPERATOR THEORY                                    ,MTL742,"",3,3,0,0
SOLAR THERMAL POWER GENERATION                     ,ESL880,"",3,3,0,0
MAJOR PROJECT PART II (CET)                        ,CVD778,"",12,0,0,24
MAJOR PROJECT PART II                              ,ELD881,"",12,0,0,24
MINOR PROJECT                                      ,JTD792,"",3,0,0,6
INTRODUCTION TO SCIENCE ANDTECHNOLOGY POLICY STUDI ,HSL701,"",1.5,1,0,1
MAJOR PROJECT                                      ,AMD895,"",40,0,0,80
BIONANOTECHNOLOGY                                  ,BBL747,"",3,3,0,0
THERMAL DESIGN                                     ,MCL823,"",4,3,0,2
MAJOR PROJECT PARTII                               ,MTD852,"",16,0,0,32
ELECTRICAL DRIVES LABORATORY                       ,ELP852,"",1.5,0,0,3
BTP PART II                                        ,ELD454,"",8,0,0,16
ADVANCED TRANSPORTATION MODELLING                  ,CVL841,"",3,2,0,2
MAJOR PROJECT PART 2                               ,CRD812,PC,12,0,0,24
RESEARCH WRITING                                   ,HSL800B,"",3,3,0,0
METAL FORMING AND PRESS TOOLS                      ,MCL132,"",3,3,0,0
"Language Acquisition, Teaching and Assessment ",HUL743,"",3,3,0,0
MEASURE AND INTEGRATION                            ,MTL510,"",4,3,1,0
SELECTED TOPICS IN SOCIOLOGY                       ,HUL380,HU,3,3,0,0
MAJOR PROJECT PART II                              ,DSD802,PC,12,0,0,24
INTRODUCTION TO CHEMISTRY                          ,CML100,"",3,3,0,0
MAJOR PROJECT PART II                              ,PYD852,"",12,0,0,24
ORGANIZATION THEORY                                ,MSL733B,SE,1.5,1.5,0,0
ADAPTIVE AND LEARNING CONTROL                      ,ELL802,"",3,3,0,0
APPLIED ELASTICITY                                 ,AML731,"",4,3,1,0
NANOPHOTONICS AND PLASMONICS                       ,ELL726,"",3,3,0,0
SOLID STATE PHYSICS                                ,PYL563,"",4,3,1,0
RURAL INDUSTRIALISATION POLICES PROGRAMMES & CASE  ,RDL701,OE,3,3,0,0
INTERPERSONAL BEHAVIOR & TEAM DYNAMICS             ,MSL727B,SE,1.5,1.5,0,0
MINI PROJECT                                       ,COD310,"",3,0,0,6
MAJOR PROJECT PART II                              ,ELD872,"",12,0,0,24
INTRODUCTION TOOCEANOGRAPHY                        ,ASL350,"",3,3,0,0
DESIGN OF HYDRAULIC STRUCTURES                     ,CVL381,"",4,3,0,2
MINOR PROJECT                                      ,AMD897,"",4,0,0,8
ADVANCED TOPICS IN PHILOSOPHY                      ,HSL860,"",3,3,0,0
POSITIVE PSYCHOLOGY                                ,HUL267,HU,4,3,1,0
MAJOR PROJECT PART I                               ,JSD801,PC,6,0,0,12
TECHNOLOGY OF SOLUTION SPUN FIBRES                 ,TXL715,PC,3,3,0,0
SEMINAR COURSE   III                               ,RDQ303,OE,1,0,0,2
DATA ANALYSIS FOR PSYCHOLINGUISTICS USING R        ,HSV748,"",2,2,0,0
MAJOR PROJECT PART II                              ,TXD804,PC,12,0,0,24
PLANT BIOTECH. & HUMAN HEALTH                      ,SBL714,"",3,3,0,0
MAJOR PROJECT PART 2 (BB1)                         ,BBD452,"",8,0,0,16
DESIGN PROJECT 1                                   ,DSD792,PC,3,0,0,6
ADVANCED SOLID STATE PHYSICS                       ,PYL651,"",3,3,0,0
ENVIROMENTAL RISK ASSESMENT ,CVL727,"",3,2,1,0
COMPUTING LABORATORY                               ,MTP290,"",2,0,0,4
COMPILER OPTIMIZATION                              ,COL729,"",4.5,3,0,3
COMPUTER ARCHITECTURE                              ,COL216,"",4,3,0,2
MAJOR PROJECT PART II                              ,TXD803,PC,12,0,0,24
INDIAN THEATRE                                     ,HUL335,HU,3,3,0,0
GROUND IMPROVEMENT AND GEOSYNTHETICS               ,CVL702,"",3,3,0,0
SWITCHED MODE POWER CONVERSION                     ,ELL760,"",3,3,0,0
ADVANCED FLUID MECHANICS                           ,APL711,"",3,3,0,0
INTR.TO MATERIAL SC. & ENGG.                       ,APL102,"",4,3,0,2
MIXED SIGNAL CIRCUIT DESIGN                        ,ELL731,"",3,3,0,0
SEMINAR COURSE   III                               ,COQ303,"",1,0,0,2
DIGITAL SIGNAL PROCESSING                          ,ELL319,"",4,3,0,2
TECHNOLOGY OF UTILIZATION OF WASTELANDS & WEEDS    ,RDL740,OE,3,3,0,0
MAJOR PROJECT PART 2 (CM)                          ,CHD874,PC,16,0,0,32
DE. & MANUF. OF TEXT. STR. CO.                     ,TXL766,PE,3,3,0,0
NUMERICAL ALGORITHMS                               ,COL726,"",4,3,0,2
INTRO TO AUTOMATA & TH. OF CO.                     ,COL352,"",3,3,0,0
ADVANCED SOLID MECHANICS                           ,APL796,"",3,3,0,0
MODELING & SIMULATION OF BIO.                      ,BBL443,DE,4,3,0,2
INTERNATIONAL COMPETITIVENESS                      ,MSL827,PE,3,3,0,0
ENZYME SCIENCE AND ENGINEERING                     ,BBL433,DC,4,3,0,2
MAJOR PROJECT PART II                              ,TXD402,"",8,0,0,16
ADVANCAED FUSION ENERGY                            ,ESL871,"",3,3,0,0
STRATEGIES IN FUNCTIONAL MGMT.                     ,MSL825,PE,3,3,0,0
SLOPES AND FOUNDATIONS                             ,CVL712,"",3,3,0,0
SLOPES AND RETAINING STRUCTURES                    ,CVL705,"",3,3,0,0
ENGG. VISUALIZATION & COMM.                        ,MCP100,"",1.5,0,0,3
BIOMEDICAL INSTRUMENTATION                         ,BML740,PC,3,3,0,0
ELECTRIC DRIVE SYSTEM                              ,ELL752,"",3,3,0,0
DATA STRUCTURES AND ALGORITHMS                     ,COL106,"",5,3,0,4
TELECOM SYSTEMS MANAGEMENT                         ,MSL723,"",3,3,0,0
QUANTITATIVE METHODS IN MGMT.                      ,MSL740,SE,3,3,0,0
STRATEGIC MANAGEMENT                               ,MSL711A,PC,3,3,0,0
SUPERCONDUCTIVITY & APPLICAT.                      ,PYL304,"",3,3,0,0
STRUCTURAL HEALTH MONITORING                       ,CVL864,"",3,3,0,0
MECHANICS OF COMPOSITE MATERIALS                   ,AML835,"",3,3,0,0
STRATEGIC MANAGEMENT                               ,MSL711B,PC,3,3,0,0
NUMERICAL MODELING OF THE ATMOSPHERE AND OCEAN     ,ASL738,"",3,2,0,2
BTP PART II                                        ,ELD453,"",8,0,0,16
"ENERGY, ECOLOGY AND ENVIRONMENT                    ",ESL330,"",4,3,1,0
SOCIAL MEDIA AND BUSINESS PRACTICES                ,MSL894,PE,3,3,0,0
Mobile Computing                                   ,ELL896,"",3,3,0,0
MAJOR PROJ IN BIOP. & FINE CH.                     ,CLD415,DE,5,0,0,10
STRUCTURE & PHYSICAL PROPERTIE                     ,TXL211,DC,3,3,0,0
MAJOR PROJECT PART I (CEC)                         ,CVD772,"",9,0,0,18
LASER SPECTROSCOPY                                 ,PYL659,"",3,3,0,0
PRINCIPLES OF ELECT. MATERIALS                     ,PYL102,"",3,3,0,0
PRODUCT DESIGN AND DEVELOPMENT                     ,TXL777,PE,3,3,0,0
CORROSION AND ITS CONTROL                          ,ITL717,"",3,3,0,0
QUANTUM MECHANICS I                                ,PYL555,"",4,3,1,0
SEMINAR COURSE   I                                 ,CLQ301,"",1,0,0,2
ADVANCED MATERIALS CHARACTERIZATION TECHNIQUES     ,TXL714,PC,1,1,0,0
MSR MAJOR PROJECT                                  ,CVD895,"",36,0,0,72
INDEPENDENT STUDY (EE3)                            ,ELS330,"",3,0,3,0
DIRECT ENERGY CONVERSION                           ,ESL730,"",3,3,0,0
INDUSTRIAL ENGINEERING LAB   I                     ,MCP261,"",1,0,0,2
SPL. MODULE IN THEO. COMP. SC.                     ,COV883,"",1,1,0,0
ELECTROCHEM. CONV. & STO. DEV.                     ,CLL722,"",3,3,0,0
PROBABILITY & STOCHASTIC PRO.                      ,MTL106,"",4,3,1,0
INTERNATIONAL FINANCIAL MANAGEMENT                 ,MSL875,PE,3,3,0,0
DSP BASED CONTROL OF POWER ELE                     ,ELP853,"",1.5,0,0,3
FAILURE ANALYSIS AND REPAIR                        ,ITL714,"",4,3,0,2
FANTASY LITERATURE                                 ,HUL307,HU,3,3,0,0
MAJOR PROJECT PART II                              ,EED898,"",12,0,0,24
ELECTROMAGNETIC WAVES&QUA.MEC.                     ,PYL100,"",3,3,0,0
POWER ELECTR. & ENERGY DEVICES                     ,ELL231,"",3,3,0,0
MACROECONOMIC ENV. OF BUSINESS                     ,MSL720B,PC,3,3,0,0
ADVANCED TRANSPORT PHENOMENA                       ,CLL731,"",3,3,0,0
B. TECH. PROJECT                                   ,CLD411,DC,4,0,0,8
SEMINAR COURSE   II                                ,BBQ302,"",1,0,0,2
